Species,Image Number,Licence,Image By
aphareus_furca,1,CC-BY-NC-SA-V3,Jeffrey T. Williams
,2,CC BY-NC 3.0,J.E. Randall
,3,CC-BY-NC-SA-V3,Dennis Polack
,4,CC-BY-NC-SA-V3,
,5,CC-BY-NC-V3,Information Center Chinese Academy of Fishery Sciences
,6,CC-BY-NC-SA-V3,Jeff Williams
,7,CC-BY-NC-SA-V3,Dennis Polack
,8,CC-BY-NC-SA-V3,Neville Ayliffe
,9,CC-BY-NC-SA-V3,Dennis Polack
,10,CC-BY-NC-V3,John E. Randall
,11,CC-BY-NC-SA-V3,Phil Heemstra
,12,CC-BY-NC-SA-V3,Dennis Polack
,13,CC-BY-NC-V3,FAO
,14,CC-BY,
,15,CC-BY-NC-SA-V3,Dennis Polack
,16,CC-BY-NC-SA-V3,Dennis Polack
,17,CC-BY-NC-SA-V3,Jeffrey T. Williams
,18,CC-BY-NC-SA-V3,Dennis Polack
,19,CC-BY-NC-V3,Robbie N. Cada
aphareus_rutilans,1,CC-BY-NC-V3,FAO
,2,CC-BY-NC-V3,John E. Randall
,3,CC-BY-NC-SA-V3,Dennis Polack
,4,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,5,CC-BY-NC-V3,John E. Randall
,6,CC-BY-NC-SA-V3,Dennis Polack
,7,CC-BY-V3,Robbie N. Cada
,8,CC-BY-NC-SA-V3,Dennis Polack
,9,CC-BY-NC-SA-V3,Phil Heemstra
,10,CC-BY-NC-V3,FAO
,11,CC-BY-NC-SA-V3,Dennis Polack
,12,CC-BY-NC-SA-V3,Dennis Polack
,13,CC-BY-NC-V3,John E. Randall
,14,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
aprion_virescens,1,CC-BY-NC-V3,John E. Randall
,2,CC-BY-NC-V3,FAO
,3,CC-BY-NC-SA-V3,Jeffrey T. Williams
,4,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,5,CC-BY-NC-V3,Robbie N. Cada
,6,CC-BY-NC-V3,FAO
lutjanus_biguttatus,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,CC-BY-NC-V3,Anne Hoggett
,3,CC-BY,G. Edgar
,4,CC-BY-NC-V3,"Australian National Fish Collection, CSIRO"
acanthaluteres_brownii,1,CC-BY-NC,David Muirhead
,2,CC-BY-NC,R. Stuart-Smith
,3,CC-BY-NC,R. Stuart-Smith
,4,CC-BY-NC,MLSSA (Anne Wilson - Heterodontus portusjacksoni)
Acanthaluteres spilomelanurus,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,CC-BY-NC,Chris Hall
,3,CC-BY-NC,R. Stuart-Smith
,4,CC-BY-NC-V3,"Australian National Fish Collection, CSIRO"
latridopsis_forsteri,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,3,CC-BY,R. Stuart-Smith
Istiophorus platypterus,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,http://eol.org/,Encyclopedia of Life
,3,http://eol.org/,Encyclopedia of Life
,4,http://eol.org/,Encyclopedia of Life
,5,http://eol.org/,Encyclopedia of Life
,6,Wikipedia,
,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO",
acanthopagrus_australis,1,CC Attribution-Non Commercial 3.0,
,2,CC-BY,
,3,CC-BY,
,"4,Australian National Fish Collection, CSIRO","Australian National Fish Collection, CSIRO. Image enhanced during FRDC project",
acanthopagrus_berda,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
,2,Creative Commons Attribution-Non Commercial 3.0,John E. Randall
,3,Creative Commons Attribution-Non Commercial 3.0,John E. Randall
,4,Creative Commons Attribution-Non Commercial 3.0,Phil Heemstra
,5,Creative Commons Attribution-Non Commercial 3.0,John E. Randall
,6,Creative Commons Attribution-Non Commercial 3.0,Rick Winterbottom
,7,Creative Commons Attribution-Non Commercial 3.0,John E. Randall
,8,Creative Commons Attribution-Non Commercial 3.0,John E. Randall
,9,Creative Commons Attribution-Non Commercial 3.0,Rick Winterbottom
,10,Creative Commons Attribution-Non Commercial 3.0,Richard Field
,11,Creative Commons Attribution-Non Commercial 3.0,Phil Heemstra
,12,Creative Commons Attribution-Non Commercial 3.0,FAO
,13,Creative Commons Attribution-Non Commercial 3.0,John E. Randall
,14,Creative Commons Attribution-Non Commercial 3.0,John E. Randall
acanthopagrus _latus,1,http://eol.org/,Encyclopedia of Life
,2,http://eol.org/,Encyclopedia of Life
,3,http://eol.org/,Encyclopedia of Life
achoerodus_gouldii,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
,2,CC-BY-NC-SA,Vicki Billings
,3,CC BY-NC Attribution-Non-Commercial 3.0 Australia,G. Edgar
,4,CC BY-NC Attribution-Non-Commercial 3.0 Australia,G. Edgar
achoerodus_viridis,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,CC-BY (Creative Commons Attribution),MESA
,3,CC-BY (Creative Commons Attribution),MESA
,4,CC BY-NC Attribution-Non-Commercial 3.0 Australia,R. Stuart-Smith
,5,CC BY-NC Attribution-Non-Commercial 3.0 Australia,R. Stuart-Smith
,6,CC BY-NC Attribution-Non-Commercial 3.0 Australia,A. Green
,7,CC BY-NC Attribution-Non-Commercial 3.0 Australia,R. Stuart-Smith
,8,CC-BY,R. Stuart-Smith
,9,CC-BY,R. Stuart-Smith
,10,CC-BY,R. Stuart-Smith
,11,CC-BY,A J Green
,12,CC-BY,Ian Sanderson
,13,CC-BY,Ian Sanderson
,"14,Australian National Fish Collection, CSIRO. Image enhanced during FRDC project",,
acreichthys_tomentosus,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,http://eol.org/,Encyclopedia of Life
,3,http://eol.org/,Encyclopedia of Life
,4,http://eol.org/,Encyclopedia of Life
,5,http://eol.org/,Encyclopedia of Life
,6,http://eol.org/,Encyclopedia of Life
,7,"Australian National Fish Collection, CSIRO",
aesopia_cornuta,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
,2,CC-BY (Creative Commons Attribution),MESA
,3,Encyclopedia of Life,
,4,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
aethaloperca_rogaa,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,CC-BY,I Shaw
,3,http://eol.org/,Encyclopedia of Life
,4,http://eol.org/,Encyclopedia of Life
,5,http://eol.org/,Encyclopedia of Life
,6,http://eol.org/,Encyclopedia of Life
,7,http://eol.org/,Encyclopedia of Life
,8,http://eol.org/,Encyclopedia of Life
,9,http://eol.org/,Encyclopedia of Life
,10,http://eol.org/,Encyclopedia of Life
,11,http://eol.org/,Encyclopedia of Life
,12,http://eol.org/,Encyclopedia of Life
,13,http://eol.org/,Encyclopedia of Life
,14,http://eol.org/,Encyclopedia of Life
,15,http://eol.org/,Encyclopedia of Life
,16,http://eol.org/,Encyclopedia of Life
,17,http://eol.org/,Encyclopedia of Life
,18,http://eol.org/,Encyclopedia of Life
,19,http://eol.org/,Encyclopedia of Life
,20,http://eol.org/,Encyclopedia of Life
,21,http://eol.org/,Encyclopedia of Life
,22,http://eol.org/,Encyclopedia of Life
,23,http://eol.org/,Encyclopedia of Life
,24,http://eol.org/,Encyclopedia of Life
,25,http://eol.org/,Encyclopedia of Life
alectis_ciliaris,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
,2,http://eol.org/,Encyclopedia of Life
,3,http://eol.org/,Encyclopedia of Life
,4,http://eol.org/,Encyclopedia of Life
,5,http://eol.org/,Encyclopedia of Life
,6,http://eol.org/,Encyclopedia of Life
,7,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
alectis_indica,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO"
,2,http://eol.org/,Encyclopedia of Life
,3,http://eol.org/,Encyclopedia of Life
,4,http://eol.org/,Encyclopedia of Life
,5,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
alepes_kleinii,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
,2,http://eol.org/,Encyclopedia of Life
,3,http://eol.org/,Encyclopedia of Life
,4,http://eol.org/,Encyclopedia of Life
,5,http://eol.org/,Encyclopedia of Life
,6,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
aluterus_monoceros,1,CC Attribution-Non Commercial 3.0,"Australian National Fish Collection, CSIRO. Image enhanced during FRDC project"
,2,http://eol.org/,Encyclopedia of Life
,3,http://eol.org/,Encyclopedia of Life
,4,http://eol.org/,Encyclopedia of Life
,5,http://eol.org/,Encyclopedia of Life
,6,http://eol.org/,Encyclopedia of Life
